"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"440",78.2656947250735,108.540073644552,70.9034955822768,370.846362767747,150.635981708488,14.8403047085666,93.0810627220416,20.5966302167873,331.302718438211,72.2057696776939,350.162000089249,201.407908243301,154.320709209204,112.383244077282
"441",74.1468006535714,102.040808918571,68.8365453640714,354.958611855,142.223118491429,14.7371159808571,90.5294190114286,20.0579799287857,316.787811928571,68.0445898442857,329.372491292857,193.165436271429,143.851986937143,105.93690309
"442",70.5073099806864,97.9020028933897,66.7620014072263,338.959678859957,132.602089980888,15.0579586691738,87.2082760480668,19.5534952398303,301.993006027664,64.4912434283093,308.036660209835,184.592239916996,135.522873794242,99.1609382207816
"443",67.0926497976285,95.4606059026114,64.5164592118679,322.407668398916,122.208532022474,15.5480376103278,83.048624614417,19.0515961236393,286.490182493026,61.3124551007287,285.902050006258,175.020085405781,128.507141123357,92.0983479291822
"444",63.5048483286135,93.627096901063,61.9213572499684,304.699822915202,111.612741508716,15.8923941925143,78.0393664717731,18.510786340343,269.656747470804,58.1279800727838,262.454357260267,163.607673057747,121.489262661329,84.7779540808487
"445",59.3459337978571,91.3119548435714,58.7981339935,285.233384852143,101.385015332143,15.7760698039286,72.1694033814286,17.8895696500714,250.870107107143,54.5575735557143,237.17927855,149.513703192857,113.153712145,77.2285785414286
"446",54.3068676536777,87.5405524616375,54.973533781065,263.397468134357,91.8527408517054,14.9648839123553,65.4375933659553,17.127591116609,229.53559872729,50.267189054249,209.702653997998,132.232346517006,102.490717726669,69.4392829447144
"447",48.4343442408026,81.7978375934591,50.2955244177867,238.548672611636,82.3716672920426,13.5477683039377,57.8826194930372,16.0890610183578,205.170284372903,45.107573247073,180.210897904414,112.599655279811,89.7135252204718,61.2400879970815
"448",41.863991128062,73.6836518539083,44.6173795754186,210.03546961506,72.0546343442156,11.6944328444083,49.5531210916362,14.6193309373741,177.319157264743,38.9756711063605,149.030568113801,91.7871521168168,75.3411348560031,52.4212541730507
"449",34.7314358842857,62.7978368578571,37.7923729257143,177.206330475714,60.0144816992857,9.5745873995,40.4977374907143,12.5637524557143,145.527210623571,31.7684276042857,116.488222470714,70.9663596635714,59.8925468628571,42.7730419471429
"450",27.2432687079099,49.1467270286015,29.8530134496521,140.162816196709,45.8346371706459,7.35768860564932,30.8996543057404,9.86798845880726,110.088100739328,23.5732486102797,83.3366176272025,51.2687848276457,44.0207264652831,32.3020604325805
"451",19.889930315795,34.3626280231325,21.5487513651103,102.018846469274,30.9808810610167,5.21218018210896,21.480242298211,6.87894704557228,74.2901361786665,15.2393835828008,52.0333054652919,33.6658716047084,28.9144988661484,21.8803132973934
"452",13.2328240544076,20.4843383068651,13.8082721991919,66.6414306566657,17.3895817954505,3.30625261883554,13.0954185161297,4.04384761830116,42.1702885774222,7.80654287756442,25.4620366745033,19.0890482624526,15.8966542629753,12.5961528483132
"453",7.83335327021429,9.55065634521429,7.560261479,37.8975781221428,6.997107799,1.80809640578572,6.6011000075,1.80990957928571,17.7655295714286,2.31443685028571,6.50656194435716,8.46974306857143,6.28998285328571,5.53793139207143
"454",4.09604799976426,3.03728723870322,3.48236389417575,18.6137046659933,1.17509573100804,0.835011488307442,2.59309101301965,0.502006090948746,3.89350560563454,0,0,2.36131758559162,0.973043067417417,1.46069683492895
"455",1.7979450399371,0.167562628287767,1.24806078451301,7.45385183662639,0,0.300735633313999,0.626744544163483,0,0,0,0,0,0,0
"456",0.559207877694952,0,0.27979265234377,2.04146761948205,0,0.0681160631099851,0,0,0,0,0,0,0,0
"457",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"458",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"459",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"460",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"461",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"462",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"463",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"464",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"465",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"466",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"467",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"468",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"469",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"470",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"471",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"472",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"473",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"474",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"475",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"476",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"477",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"478",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"479",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"480",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"481",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"482",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"483",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"484",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"485",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"486",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"487",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"488",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"489",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"490",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"491",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"492",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"493",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"494",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"495",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"496",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"497",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"498",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"499",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"500",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"501",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"502",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"503",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"504",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"505",4.44089209850063e-16,8.88178419700125e-16,8.88178419700125e-16,0,0,0,0,4.44089209850063e-16,0,0.808911934285714,1.629114117,0,3.07657693071429,0
"506",4.36841143210909,6.16106610782038,7.26329526772583,8.60506523550852,3.0979833224437,2.09980201094868,4.39688557901327,2.11290653165347,24.4770292237716,4.76756846899819,17.6231173101268,25.5874751483629,16.4356937322043,7.86617353263232
"507",10.6799775979512,15.1553780766456,17.326953762102,22.4858397151605,7.97496565454749,4.90706005773221,10.8383515767845,5.02254878687659,59.5063684063929,10.4770183999525,40.8156269974729,60.7583779843653,34.8221052268808,19.0849314942887
"508",18.1598041478534,25.993114255898,28.42386024007,41.7260982929465,14.5272729578597,7.79734443286391,18.6431540641991,8.19496988128641,100.373005098496,17.3961446070019,68.8100501974753,98.974044740685,55.5038803500812,32.0980805402293
"509",26.0329967321429,37.684452995,38.7868994585714,66.4096158228571,22.6512311939286,10.1462254288571,27.1300491121429,11.0962129305,142.361926850714,24.98382997,99.2097939285714,133.69581165,75.7490880371429,45.3474273257143
"510",33.6579791933499,49.3304062775516,46.9898140870977,96.2905907034056,32.2017069179137,11.5099776682387,35.7151412741721,13.3339064743886,181.490700865435,32.7334825415126,129.96921821784,159.755422205824,93.4174256152777,57.541483445941
"511",40.926448142817,60.3953206238629,52.9697784453392,129.804915511195,42.8677290594197,12.1676930935889,44.2039290345269,15.0820207498401,216.707212952066,40.2766110649552,160.446495126928,177.466248945017,108.735103979195,68.455580255856
"512",47.8634183840899,70.4343761884212,57.0048247655361,165.058906367351,54.2968671416622,12.5791679775019,52.4992593601182,16.6561114179965,247.691928571771,47.2792494564559,190.350749726123,188.512071665272,122.51996241548,78.131754050343
"513",54.4939047207143,79.0027531257143,59.3729852799286,200.158879393,66.1366906878571,13.2041985925714,60.5039792178571,18.37173414,274.125313185714,53.4074316321429,219.391107085714,194.576670164286,135.589840210714,86.6120411242857
"514",60.8000296376945,85.7771529450758,60.4159146813342,233.461960974108,78.0949297856615,14.3728130318489,68.0868483519436,20.4268494816572,295.830028098363,58.4489615395386,247.30484335526,197.28792967488,148.538243542801,93.9717591738826
"515",66.5923463458701,90.9203625752244,60.7297575048805,264.328518556006,90.119956780497,15.8959666702156,74.9802776157331,22.5490376274328,313.197517987398,62.6787232517446,273.941839001404,198.050157170389,161.061346154909,100.419351500591
"516",71.6385157375392,94.7166902997251,60.9742807462722,292.369729848865,102.220304582227,17.4548467030102,80.8825906398704,24.3482836664563,326.761423373806,66.4933708732569,299.18012557006,198.211765059275,172.630988681528,106.196542807182
"517",75.706198705,97.4504444021429,61.8092514012143,317.196772562857,114.404506100714,18.7306403255714,85.492111055,25.4345726878571,337.055384778571,70.2895585085714,322.897734607143,199.12116575,182.719011757143,111.545057796429
"518",78.652235068439,99.4187012008841,63.6916573500364,338.574077884123,126.528137578375,19.4967776652151,88.6482604606876,25.5491546326982,344.715786858603,74.3367808990383,344.89736559862,201.814855892981,190.905036925561,116.633336053305
