Wind NREL,Wind,Solar NREL,Solar
138.2097189,42.37966249,11.88954926,0
151.8784126,43.48392094,0.176549258,0
162.8092609,44.86161087,0,0
168.8377673,46.06685327,0,0
168.5544374,48.19912798,0,0
163.5590673,51.50925366,0,0
156.2086308,52.82708911,0,0
148.8601016,55.93210788,0,0
143.1371936,55.04472839,0,0
137.7208374,51.08719167,0,0
130.5604287,46.84440679,0,0
119.6056245,41.71483224,0,0
103.6499554,40.58781924,0,0
84.85960694,41.42353005,0,0
66.24521445,42.49873092,0,0
50.81741305,43.81603704,0,0
41.01945453,47.70476718,0,0
37.02429624,49.06340617,0,0
38.43766648,46.57691817,0,0
44.86529354,43.41367694,0,0
55.3413577,42.31471044,0,0
66.61364363,42.12696424,0,0
74.85842947,42.16649596,0,0
76.25199336,40.48796825,0,0
68.32299519,38.82816294,0,0
54.00956786,37.05849463,0,0
37.6022372,33.48238161,0,0
23.391529,28.89760931,0,0
14.67395701,27.63623148,0,0
10.76997194,28.7897156,0,0
10.00601539,28.82808818,0,0
10.70852896,29.32349214,0,0
11.49638466,37.11290286,0,0
12.15817181,45.01561228,0,0
12.77491086,55.79529495,0,0
13.42762231,67.45463645,0,0
14.18052356,76.18917,0,0
15.03061682,86.93987989,0,0
15.95810128,89.60991263,0,0
16.94317609,94.3655367,0,0
17.99393297,90.6842618,0,0
19.23002603,81.90343124,0,0
20.79900116,85.37103382,0,0
22.84840421,79.22726766,0,0
25.44242354,64.40882057,0,0
28.31178856,60.70402632,0,0
31.10386791,54.55561908,0,0
33.46603029,44.99032671,0,0
35.11221875,41.73871707,0,0
36.02256619,41.32222614,0,0
36.24376796,41.70789609,0,0
35.82251944,39.67126584,0,0
34.78091951,35.93240092,24.12658534,0
33.04228004,34.27439908,65.71737466,0
30.50527151,36.18022652,128.3046985,0
27.06856443,36.89832193,222.6556745,0
22.74487507,40.28434639,369.0819909,27.8
18.00160384,46.03346405,549.1777086,61.5
13.42002905,48.58138002,749.4118718,160.6
9.581429009,46.62182999,956.253525,267.7
6.924344385,44.61566382,1157.690813,322.3
5.317084521,44.85973743,1347.788286,369.6
4.478827205,43.76235248,1522.129594,409.7
4.088702456,39.41803246,1676.298386,439.1
3.958113345,39.95980137,1807.219894,468.1
3.941981329,41.331895,1917.185672,468.1
3.956773912,38.89618972,2009.828857,493.2
3.924234525,36.81456049,2088.782583,468.1
3.786684598,35.87524593,2157.292943,491.4
3.542467078,35.89211494,2217.057844,490.4
3.221268429,36.08312849,2269.388153,507.9
2.852775244,36.10616998,2315.594735,522.7
2.469139449,36.27408237,2356.240131,465.5
2.100418269,36.26201065,2388.893595,458.8
1.78023161,36.84576286,2410.37606,453.1
1.542199396,38.60124764,2417.508457,453.8
1.410554893,41.73152114,2408.039367,468.1
1.354164175,42.80728601,2383.42796,465.4
1.331163446,44.15082166,2346.061055,522.4
1.299689175,46.3972927,2298.325473,489.5
1.237107398,50.0177799,2241.825973,468.3
1.14018696,52.91661039,2175.03908,466.3
1.018216551,48.24448153,2095.659263,381.5
0.881870884,45.99903171,2001.380987,430.5
